lr-AdamW,step,train_loss_step,epoch,val_loss,train_loss_epoch
0.0005,0,,,,
,49,-3.4528839588165283,0,,
,99,-3.5344929695129395,0,,
,149,-3.652470350265503,0,,
,199,-3.5562903881073,0,,
,249,-3.682219982147217,0,,
,299,-3.5430002212524414,0,,
,349,-3.6707563400268555,0,,
,399,-3.70335054397583,0,,
,449,-3.5427753925323486,0,,
,499,-3.564162254333496,0,,
,549,-3.719982385635376,0,,
,599,-3.593615770339966,0,,
,649,-3.7572059631347656,0,,
,699,-3.741281509399414,0,,
,749,-3.6459267139434814,0,,
,799,-3.3209192752838135,0,,
,849,-3.853217840194702,0,,
,899,-3.7831153869628906,0,,
,949,-3.677804708480835,0,,
,999,-3.5943803787231445,0,,
,1049,-3.570037841796875,0,,
,1099,-3.805935859680176,0,,
,1149,-3.4662299156188965,0,,
,1199,-3.536090850830078,0,,
,1249,-3.7104992866516113,0,,
,1299,-3.612473487854004,0,,
,1349,-3.7114553451538086,0,,
,1399,-3.6571431159973145,0,,
,1449,-3.7035012245178223,0,,
,1499,-3.586047649383545,0,,
,1549,-3.5695788860321045,0,,
,1599,-3.811973810195923,0,,
,1649,-3.7264018058776855,0,,
,1699,-3.5993804931640625,0,,
,1740,,0,-2.123295545578003,
,1740,,0,,-3.637899875640869
0.0005,1741,,,,
,1749,-3.6270549297332764,1,,
,1799,-3.5987820625305176,1,,
,1849,-3.7840077877044678,1,,
,1899,-3.783085346221924,1,,
,1949,-3.584120750427246,1,,
,1999,-3.825232982635498,1,,
,2049,-3.825146198272705,1,,
,2099,-3.7159993648529053,1,,
,2149,-3.7744345664978027,1,,
,2199,-3.649916410446167,1,,
,2249,-3.6246113777160645,1,,
,2299,-3.6448400020599365,1,,
,2349,-3.782480239868164,1,,
,2399,-3.557746410369873,1,,
,2449,-3.5856235027313232,1,,
,2499,-3.7111477851867676,1,,
,2549,-3.6038730144500732,1,,
,2599,-3.7235260009765625,1,,
,2649,-3.590043306350708,1,,
,2699,-3.7965080738067627,1,,
,2749,-3.673095703125,1,,
,2799,-3.6294238567352295,1,,
,2849,-3.701603889465332,1,,
,2899,-3.563358783721924,1,,
,2949,-3.6874608993530273,1,,
,2999,-3.6752939224243164,1,,
,3049,-3.716063976287842,1,,
,3099,-3.7170703411102295,1,,
,3149,-3.675975799560547,1,,
,3199,-3.7080798149108887,1,,
,3249,-3.7061667442321777,1,,
,3299,-3.624708652496338,1,,
,3349,-3.5294392108917236,1,,
,3399,-3.6227049827575684,1,,
,3449,-3.6845927238464355,1,,
,3481,,1,-3.222639799118042,
,3481,,1,,-3.6545803546905518
0.0005,3482,,,,
,3499,-3.586822271347046,2,,
,3549,-3.8541243076324463,2,,
,3599,-3.4936046600341797,2,,
,3649,-3.7276363372802734,2,,
,3699,-3.806313991546631,2,,
,3749,-3.72251033782959,2,,
,3799,-3.7223734855651855,2,,
,3849,-3.638406753540039,2,,
,3899,-3.6576437950134277,2,,
,3949,-3.6337130069732666,2,,
,3999,-3.6595077514648438,2,,
,4049,-3.68626070022583,2,,
,4099,-3.732067584991455,2,,
,4149,-3.72454833984375,2,,
,4199,-3.622084617614746,2,,
,4249,-3.9492931365966797,2,,
,4299,-3.7165322303771973,2,,
,4349,-3.66570782661438,2,,
,4399,-3.616689682006836,2,,
,4449,-3.579960823059082,2,,
,4499,-3.8279943466186523,2,,
,4549,-3.4606285095214844,2,,
,4599,-3.6388983726501465,2,,
,4649,-3.674136161804199,2,,
,4699,-3.5460715293884277,2,,
,4749,-3.600520372390747,2,,
,4799,-3.5260281562805176,2,,
,4849,-3.6134519577026367,2,,
,4899,-3.4770963191986084,2,,
,4949,-3.6770572662353516,2,,
,4999,-3.7376928329467773,2,,
,5049,-3.6283717155456543,2,,
,5099,-3.690242052078247,2,,
,5149,-3.527834415435791,2,,
,5199,-3.4846842288970947,2,,
,5222,,2,-3.416199207305908,
,5222,,2,,-3.6623878479003906
0.0005,5223,,,,
