lr-AdamW,step,train_loss_step,epoch,val_loss,train_loss_epoch
,16399,-5.762451171875,9,,
,16449,-5.496461868286133,9,,
,16499,-5.696480751037598,9,,
,16549,-5.704093933105469,9,,
,16599,-5.732186317443848,9,,
,16649,-5.764499664306641,9,,
,16699,-5.74894905090332,9,,
,16749,-5.426398754119873,9,,
,16799,-5.571508884429932,9,,
,16849,-5.442298889160156,9,,
,16899,-5.348808288574219,9,,
,16949,-5.7338104248046875,9,,
,16999,-5.640653610229492,9,,
,17049,-5.533103942871094,9,,
,17099,-5.683356285095215,9,,
,17149,-5.786077499389648,9,,
,17199,-5.705340385437012,9,,
,17249,-5.741291046142578,9,,
,17299,-5.827086448669434,9,,
,17349,-5.592101573944092,9,,
,17399,-5.951011657714844,9,,
,17409,,9,-4.545143127441406,
,17409,,9,,-5.638912677764893
0.0005,17410,,,,
,17449,-5.595722198486328,10,,
,17499,-5.6663408279418945,10,,
,17549,-5.285313129425049,10,,
,17599,-5.713466644287109,10,,
,17649,-5.781243324279785,10,,
,17699,-5.761934280395508,10,,
,17749,-5.7045063972473145,10,,
,17799,-5.7580037117004395,10,,
,17849,-5.711580753326416,10,,
,17899,-5.479120254516602,10,,
,17949,-5.872519493103027,10,,
,17999,-5.730259895324707,10,,
,18049,-5.561565399169922,10,,
,18099,-5.8103156089782715,10,,
,18149,-5.7301225662231445,10,,
,18199,-5.595583915710449,10,,
,18249,-5.871435642242432,10,,
,18299,-5.841518878936768,10,,
,18349,-5.608644485473633,10,,
,18399,-5.284150123596191,10,,
,18449,-5.4413652420043945,10,,
,18499,-5.779623985290527,10,,
,18549,-5.521107196807861,10,,
,18599,-5.864508628845215,10,,
,18649,-5.689878463745117,10,,
,18699,-5.733139991760254,10,,
,18749,-5.6053314208984375,10,,
,18799,-5.59835147857666,10,,
,18849,-5.602235317230225,10,,
,18899,-5.850429534912109,10,,
,18949,-5.566990375518799,10,,
,18999,-5.79183292388916,10,,
,19049,-5.732651233673096,10,,
,19099,-5.649966239929199,10,,
,19149,-5.749637126922607,10,,
,19150,,10,-4.603607654571533,
,19150,,10,,-5.663961887359619
0.0005,19151,,,,
,19199,-5.679360389709473,11,,
,19249,-5.617626667022705,11,,
,19299,-5.80532169342041,11,,
,19349,-5.668848037719727,11,,
,19399,-5.6215925216674805,11,,
,19449,-5.539577484130859,11,,
,19499,-5.87654972076416,11,,
,19549,-5.6807355880737305,11,,
,19599,-5.752225399017334,11,,
,19649,-5.607583999633789,11,,
,19699,-5.598770618438721,11,,
,19749,-5.698619842529297,11,,
,19799,-5.665946006774902,11,,
,19849,-5.664567947387695,11,,
,19899,-5.758029937744141,11,,
,19949,-5.635024547576904,11,,
,19999,-5.559421539306641,11,,
,20049,-5.731037139892578,11,,
,20099,-5.816107749938965,11,,
,20149,-5.588362693786621,11,,
,20199,-5.698263168334961,11,,
,20249,-5.730629920959473,11,,
,20299,-5.608453750610352,11,,
,20349,-5.784252643585205,11,,
,20399,-5.559944152832031,11,,
,20449,-5.639064788818359,11,,
,20499,-5.750130653381348,11,,
,20549,-5.400018215179443,11,,
,20599,-5.737496852874756,11,,
,20649,-5.6010212898254395,11,,
,20699,-5.447757720947266,11,,
,20749,-5.652503490447998,11,,
,20799,-5.741166114807129,11,,
,20849,-5.5516133308410645,11,,
,20891,,11,-4.46531867980957,
,20891,,11,,-5.6694746017456055
0.0005,20892,,,,
,20899,-5.344914436340332,12,,
,20949,-5.84116268157959,12,,
,20999,-5.619041442871094,12,,
,21049,-5.660890579223633,12,,
,21099,-5.629452705383301,12,,
,21149,-5.591480255126953,12,,
,21199,-5.63035774230957,12,,
,21249,-5.675025939941406,12,,
,21299,-5.677396774291992,12,,
,21349,-5.688319206237793,12,,
,21399,-5.802094459533691,12,,
,21449,-5.631196975708008,12,,
,21499,-5.746333122253418,12,,
,21549,-5.637537002563477,12,,
,21599,-5.689046859741211,12,,
,21649,-5.616349220275879,12,,
,21699,-5.7048726081848145,12,,
,21749,-5.694828987121582,12,,
,21799,-5.674184799194336,12,,
,21849,-5.50634765625,12,,
,21899,-5.826947212219238,12,,
,21949,-5.674282073974609,12,,
,21999,-5.640497207641602,12,,
,22049,-5.519732475280762,12,,
,22099,-2.7325901985168457,12,,
,22149,-4.719290733337402,12,,
,22199,-5.163580417633057,12,,
,22249,-5.303045749664307,12,,
,22299,-5.146363258361816,12,,
,22349,-5.383162021636963,12,,
,22399,-5.388291358947754,12,,
,22449,-5.29606819152832,12,,
,22499,-5.367458343505859,12,,
,22549,-5.379956245422363,12,,
,22599,-5.552798271179199,12,,
,22632,,12,-4.280754566192627,
,22632,,12,,-5.4454240798950195
0.0005,22633,,,,
,22649,-5.530520439147949,13,,
,22699,-5.607890605926514,13,,
,22749,-5.532329559326172,13,,
,22799,-5.427961349487305,13,,
,22849,-5.525693893432617,13,,
,22899,-5.528677463531494,13,,
,22949,-5.68433952331543,13,,
,22999,-5.655860900878906,13,,
,23049,-5.635120391845703,13,,
,23099,-5.730352401733398,13,,
,23149,-5.777944564819336,13,,
,23199,-5.677602767944336,13,,
,23249,-5.420900821685791,13,,
,23299,-5.642295837402344,13,,
,23349,-5.369507789611816,13,,
,23399,-5.648838043212891,13,,
,23449,-5.7611403465271,13,,
,23499,-5.537276268005371,13,,
,23549,-5.661677360534668,13,,
,23599,-5.777664661407471,13,,
,23649,-5.403775691986084,13,,
,23699,-5.500526428222656,13,,
,23749,-5.56558895111084,13,,
,23799,-5.638116836547852,13,,
,23849,-5.597129821777344,13,,
,23899,-5.502060890197754,13,,
,23949,-5.691186904907227,13,,
,23999,-5.622951507568359,13,,
,24049,-5.7214555740356445,13,,
,24099,-5.705479145050049,13,,
,24149,-5.757774353027344,13,,
,24199,-5.744415760040283,13,,
,24249,-5.311727046966553,13,,
,24299,-5.519550800323486,13,,
,24349,-5.691671371459961,13,,
,24373,,13,-4.251470565795898,
,24373,,13,,-5.590443134307861
0.0005,24374,,,,
,24399,-5.834874153137207,14,,
,24449,-5.687817573547363,14,,
,24499,-5.66180419921875,14,,
,24549,-5.618260860443115,14,,
,24599,-5.7687907218933105,14,,
,24649,-5.740715026855469,14,,
,24699,-5.734416961669922,14,,
,24749,-5.740528106689453,14,,
,24799,-5.7767767906188965,14,,
,24849,-5.822388172149658,14,,
,24899,-5.676832675933838,14,,
,24949,-5.663235664367676,14,,
,24999,-5.675365924835205,14,,
,25049,-5.793900489807129,14,,
,25099,-5.654084205627441,14,,
,25149,-5.52705717086792,14,,
,25199,-5.567191123962402,14,,
,25249,-5.696270942687988,14,,
,25299,-5.592270851135254,14,,
,25349,-5.6681318283081055,14,,
,25399,-5.689507484436035,14,,
,25449,-5.735385417938232,14,,
,25499,-5.473777770996094,14,,
,25549,-5.332075595855713,14,,
,25599,-5.59407901763916,14,,
,25649,-5.7703399658203125,14,,
,25699,-5.693061828613281,14,,
,25749,-5.739715099334717,14,,
,25799,-5.643268585205078,14,,
,25849,-5.767850875854492,14,,
,25899,-5.569701194763184,14,,
,25949,-5.727718353271484,14,,
,25999,-5.549016952514648,14,,
,26049,-5.584716796875,14,,
,26099,-5.513626575469971,14,,
,26114,,14,-3.360581159591675,
,26114,,14,,-5.653172492980957
0.0005,26115,,,,
,26149,-5.660721302032471,15,,
,26199,-5.759005546569824,15,,
,26249,-5.39025354385376,15,,
,26299,-5.7557373046875,15,,
,26349,-5.557693958282471,15,,
,26399,-5.449028015136719,15,,
,26449,-5.6695146560668945,15,,
,26499,-5.799892425537109,15,,
,26549,-5.868906021118164,15,,
,26599,-5.60500431060791,15,,
,26649,-5.669503211975098,15,,
,26699,-5.695357322692871,15,,
,26749,-5.812789440155029,15,,
,26799,-5.730315208435059,15,,
,26849,-5.521365165710449,15,,
,26899,-5.6636738777160645,15,,
,26949,-5.671621322631836,15,,
,26999,-5.704048156738281,15,,
,27049,-5.5179033279418945,15,,
,27099,-5.686614990234375,15,,
,27149,-5.627440452575684,15,,
,27199,-5.8197784423828125,15,,
,27249,-5.581531524658203,15,,
,27299,-5.57351541519165,15,,
,27349,-5.774323463439941,15,,
,27399,-5.550047874450684,15,,
,27449,-5.508542537689209,15,,
,27499,-5.769197463989258,15,,
,27549,-5.741819381713867,15,,
,27599,-5.606531143188477,15,,
,27649,-5.611515998840332,15,,
,27699,-5.612549304962158,15,,
,27749,-5.721805095672607,15,,
,27799,-5.622953414916992,15,,
,27849,-5.711434364318848,15,,
,27855,,15,-4.233435153961182,
,27855,,15,,-5.65634298324585
0.0005,27856,,,,
,27899,-5.763442516326904,16,,
,27949,-5.5458478927612305,16,,
,27999,-5.466884613037109,16,,
,28049,-5.7734375,16,,
,28099,-5.630253314971924,16,,
,28149,-5.763189315795898,16,,
,28199,-5.531233787536621,16,,
,28249,-5.7446513175964355,16,,
,28299,-5.582032203674316,16,,
,28349,-5.709475517272949,16,,
,28399,-5.776707172393799,16,,
,28449,-5.825624465942383,16,,
,28499,-5.747415065765381,16,,
,28549,-5.749152660369873,16,,
,28599,-5.693437576293945,16,,
,28649,-5.901824474334717,16,,
,28699,-5.65119743347168,16,,
,28749,-5.528051376342773,16,,
,28799,-5.76572847366333,16,,
,28849,-5.705499649047852,16,,
,28899,-5.746194839477539,16,,
,28949,-5.749995708465576,16,,
,28999,-5.831116676330566,16,,
,29049,-5.641213417053223,16,,
,29099,-5.640100955963135,16,,
,29149,-5.726726531982422,16,,
,29199,-5.586827278137207,16,,
,29249,-5.701260566711426,16,,
,29299,-5.713263988494873,16,,
,29349,-5.785804271697998,16,,
,29399,-5.463524341583252,16,,
,29449,-5.724534511566162,16,,
,29499,-5.502714157104492,16,,
,29549,-5.721992492675781,16,,
,29596,,16,-4.44286584854126,
,29596,,16,,-5.6557183265686035
0.0005,29597,,,,
,29599,-5.312083721160889,17,,
,29649,-5.6262359619140625,17,,
,29699,-5.655982971191406,17,,
,29749,-5.682592391967773,17,,
,29799,-5.594789505004883,17,,
,29849,-5.639212608337402,17,,
,29899,-5.684930801391602,17,,
,29949,-5.64122200012207,17,,
,29999,-5.581630706787109,17,,
,30049,-5.493788242340088,17,,
,30099,-5.7378082275390625,17,,
,30149,-5.613316535949707,17,,
,30199,-5.600951194763184,17,,
,30249,-5.682363510131836,17,,
,30299,-5.892654895782471,17,,
,30349,-5.89876651763916,17,,
,30399,-5.62054967880249,17,,
,30449,-5.676335334777832,17,,
,30499,-5.58095121383667,17,,
,30549,-5.592321872711182,17,,
,30599,-5.666585922241211,17,,
,30649,-5.631993293762207,17,,
,30699,-5.491245269775391,17,,
,30749,-5.854763031005859,17,,
,30799,-5.797247409820557,17,,
,30849,-5.527991771697998,17,,
,30899,-5.760132312774658,17,,
,30949,-5.821841239929199,17,,
,30999,-5.744982719421387,17,,
,31049,-5.4635162353515625,17,,
,31099,-5.718987941741943,17,,
,31149,-5.660016059875488,17,,
,31199,-5.440471649169922,17,,
,31249,-5.648376941680908,17,,
,31299,-5.744268894195557,17,,
,31337,,17,-4.699954986572266,
,31337,,17,,-5.661473274230957
0.0005,31338,,,,
,31349,-5.593069076538086,18,,
,31399,-5.733203411102295,18,,
,31449,-5.604737281799316,18,,
,31499,-5.731250762939453,18,,
,31549,-5.692299842834473,18,,
,31599,-5.731771469116211,18,,
,31649,-5.3577880859375,18,,
,31699,-5.739621162414551,18,,
,31749,-5.7845988273620605,18,,
,31799,-5.5084662437438965,18,,
,31849,-5.864960670471191,18,,
,31899,-5.647266387939453,18,,
,31949,-5.693548679351807,18,,
,31999,-5.441972732543945,18,,
,32049,-5.461043834686279,18,,
,32099,-5.5944366455078125,18,,
,32149,-5.597670555114746,18,,
,32199,-5.559562683105469,18,,
,32249,-5.784384727478027,18,,
,32299,-5.776149272918701,18,,
,32349,-5.7957763671875,18,,
,32399,-5.58747673034668,18,,
,32449,-5.717751979827881,18,,
,32499,-5.756468296051025,18,,
,32549,-5.930254936218262,18,,
,32599,-5.842181205749512,18,,
,32649,-5.603118896484375,18,,
,32699,-5.809659004211426,18,,
,32749,-5.744546890258789,18,,
,32799,-5.486271858215332,18,,
,32849,-5.78641939163208,18,,
,32899,-5.856791019439697,18,,
,32949,-5.802571773529053,18,,
,32999,-5.484874725341797,18,,
,33049,-5.524251937866211,18,,
,33078,,18,-3.6732749938964844,
,33078,,18,,-5.68593168258667
0.0005,33079,,,,
,33099,-5.647626876831055,19,,
,33149,-5.708437919616699,19,,
,33199,-5.795266151428223,19,,
,33249,-5.676386833190918,19,,
,33299,-5.709372520446777,19,,
,33349,-5.768113613128662,19,,
,33399,-5.778316974639893,19,,
,33449,-5.788603782653809,19,,
,33499,-5.642490386962891,19,,
,33549,-5.937911033630371,19,,
,33599,-5.703336715698242,19,,
,33649,-5.684968948364258,19,,
,33699,-5.711711883544922,19,,
,33749,-5.7919535636901855,19,,
,33799,-5.5987019538879395,19,,
,33849,-5.585488319396973,19,,
,33899,-5.778327941894531,19,,
,33949,-5.701538562774658,19,,
,33999,-5.4324493408203125,19,,
,34049,-5.7755126953125,19,,
,34099,-5.771933555603027,19,,
,34149,-5.3484392166137695,19,,
,34199,-5.604896545410156,19,,
,34249,-5.615543365478516,19,,
,34299,-5.788374900817871,19,,
,34349,-5.605928421020508,19,,
,34399,-5.667659759521484,19,,
,34449,-5.635307312011719,19,,
,34499,-5.610701560974121,19,,
,34549,-5.575104713439941,19,,
,34599,-5.59340763092041,19,,
,34649,-5.771608829498291,19,,
,34699,-5.658717155456543,19,,
,34749,-5.75523042678833,19,,
,34799,-5.633034706115723,19,,
,34819,,19,-4.982402801513672,
,34819,,19,,-5.665167808532715
0.0005,34820,,,,
,34849,-5.795000076293945,20,,
,34899,-5.864021301269531,20,,
,34949,-5.539509296417236,20,,
,34999,-5.679093837738037,20,,
,35049,-5.755064487457275,20,,
,35099,-4.079244613647461,20,,
,35149,-4.8171772956848145,20,,
,35199,-4.992924213409424,20,,
,35249,-5.186712265014648,20,,
,35299,-5.426025390625,20,,
,35349,-5.104025840759277,20,,
,35399,-5.261552810668945,20,,
,35449,-5.511110305786133,20,,
,35499,-4.67215633392334,20,,
,35549,-5.268617630004883,20,,
,35599,-5.273725986480713,20,,
,35649,-5.402532577514648,20,,
,35699,-5.507495403289795,20,,
,35749,-5.484192371368408,20,,
,35799,-5.48024845123291,20,,
,35849,-5.5811357498168945,20,,
,35899,-5.515270709991455,20,,
,35949,-5.459111213684082,20,,
,35999,-5.353564739227295,20,,
,36049,-5.5698089599609375,20,,
,36099,-5.644175052642822,20,,
,36149,-5.664818286895752,20,,
,36199,-5.6255412101745605,20,,
,36249,-5.33432674407959,20,,
,36299,-5.578444480895996,20,,
,36349,-5.556085586547852,20,,
,36399,-5.622605323791504,20,,
,36449,-5.518113613128662,20,,
,36499,-5.571439743041992,20,,
,36549,-5.511302947998047,20,,
,36560,,20,-2.926164388656616,
,36560,,20,,-5.32796049118042
0.0005,36561,,,,
,36599,-5.511186599731445,21,,
,36649,-5.563324928283691,21,,
,36699,-5.687971115112305,21,,
,36749,-5.668556213378906,21,,
,36799,-5.5324602127075195,21,,
,36849,-5.5960259437561035,21,,
,36899,-5.597769737243652,21,,
,36949,-5.576847076416016,21,,
,36999,-5.8008928298950195,21,,
,37049,-5.624899387359619,21,,
,37099,-5.709470748901367,21,,
,37149,-5.443967819213867,21,,
,37199,-5.390620231628418,21,,
,37249,-5.575019836425781,21,,
,37299,-5.565776348114014,21,,
,37349,-5.600465774536133,21,,
,37399,-5.732734680175781,21,,
,37449,-5.044275283813477,21,,
,37499,-5.680140495300293,21,,
,37549,-5.494570732116699,21,,
,37599,-5.504676818847656,21,,
,37649,-5.616581916809082,21,,
,37699,-5.625884056091309,21,,
,37749,-5.504725933074951,21,,
,37799,-5.638753414154053,21,,
,37849,-5.443228721618652,21,,
